time,open,high,low,close,Volume Delta (Open),Volume Delta (High,Volume Delta (Low),Volume Delta (Close)
1739444400,2917.977,2918.29,2916.398,2917.67,0,0,-3613,-3613
1739445300,2917.67,2918.44,2915.588,2916.75,0,62,-4256,-3571
1739446200,2916.777,2918.23,2916.135,2917.677,0,2394,-436,1613
1739447100,2917.677,2918.18,2915.165,2917.88,0,1891,-2067,1891
1739448000,2917.926,2920.41,2915.345,2919.49,0,5932,0,3784
1739448900,2919.45,2919.69,2917.105,2917.777,0,0,-4609,-4568
1739449800,2917.735,2921.32,2917.665,2919.74,0,9021,0,8151
1739450700,2919.59,2920.17,2916.895,2917.63,0,0,-6022,-4692
1739451600,2917.64,2917.931,2912.715,2915.285,0,4483,-5234,1326
1739452500,2915.397,2916.746,2910.898,2911.898,0,2667,-8313,-7268
1739453400,2911.898,2917.66,2907.698,2912.465,0,0,-12361,-12361
1739454300,2912.78,2913.12,2905.548,2908.52,0,0,-8539,-6793
1739455200,2908.51,2913,2906.395,2911.65,0,10844,-2390,8658
1739456100,2911.565,2913.62,2908.815,2909.37,0,8186,0,2961
1739457000,2909.37,2916.46,2907.615,2914.401,0,7308,-2364,2840
1739457900,2914.3,2917.39,2913.195,2915.046,0,3299,-3280,-1548
1739458800,2915.01,2919.089,2914.375,2918.766,0,4445,-2732,1317
1739459700,2918.786,2919.721,2915.665,2915.985,0,0,-5014,-5014
1739460600,2916.09,2919.86,2915.265,2917.045,0,4487,-3670,-3670
1739461500,2917.006,2920.91,2916.41,2920.166,0,12373,-1760,11221
1739462400,2920.186,2920.797,2918.43,2919.897,0,1988,-3180,775
1739463300,2919.9,2919.9,2916.4,2917.78,0,0,-8379,-7318
1739464200,2917.72,2917.92,2915.345,2916.44,0,2537,-1980,1149
1739465100,2916.437,2916.55,2912.885,2913.94,0,0,-8973,-6933
1739466000,2913.74,2916.84,2913.365,2916.085,0,7476,-1049,6161
1739466900,2916.27,2917.37,2914.705,2916.326,0,779,-2241,-1561
1739467800,2916.34,2917.25,2914.548,2916.28,0,2642,-1061,1738
1739468700,2916.37,2919.19,2915.835,2918.745,0,10836,0,8131
1739469600,2918.99,2919.02,2915.778,2915.89,0,0,-3202,-2315
1739470500,2916.02,2917.64,2914.695,2917.03,0,4415,-3439,4415
1739471400,2916.795,2919.72,2913.985,2918.16,0,7755,0,6306
1739472300,2918.17,2925.33,2917.148,2924.017,0,7954,0,6702
1739473200,2923.805,2926.67,2923.698,2926.34,0,3498,-1094,2862
1739474100,2926.24,2927.2,2924.315,2926.46,0,1051,-3762,-1396
1739475000,2926.46,2927.14,2925.685,2926.427,0,919,-1000,558
1739475900,2926.46,2927.45,2925.095,2926.8,0,2392,-1986,2392
1739476800,2926.84,2926.94,2925.005,2926.205,0,0,-4060,-2725
1739477700,2926.38,2928.99,2925.54,2925.805,0,3649,-2337,-2337
1739478600,2925.86,2928.64,2925.558,2927.83,0,3356,-2390,1659
1739479500,2927.84,2929,2924.665,2928.397,0,5010,-1731,3576
1739480400,2928.275,2929.02,2928.055,2928.43,0,1456,-62,531
1739481300,2928.42,2929.08,2927.918,2928.34,0,1369,-205,1080
1739482200,2928.38,2929.54,2928.015,2929.04,0,2271,0,1423
1739483100,2929.085,2929.49,2927.145,2927.305,0,447,-1875,-112
1739487600,2929.22,2929.94,2926.675,2928.03,0,0,-1533,-229
1739488500,2928.03,2931.257,2927.598,2930.77,0,3089,0,2722
1739489400,2930.79,2932.28,2930.415,2931.18,0,962,-1139,-874
1739490300,2931.18,2932.16,2930.415,2931.07,0,1090,-792,-42
1739491200,2931.07,2931.44,2927.298,2927.74,0,0,-4799,-3630
1739492100,2927.765,2929.17,2927.298,2928.346,0,2977,-195,2222
1739493000,2928.297,2929.12,2927.395,2928.155,0,3121,0,2143
1739493900,2928.271,2928.63,2927.555,2927.77,0,13,-965,-965
1739494800,2927.82,2933.4,2927.675,2931.58,0,7805,0,4082
1739495700,2931.41,2933.81,2930.705,2931.871,0,4931,0,2239
1739496600,2931.771,2932.471,2929.925,2930.33,0,2570,-4882,-4882
1739497500,2930.33,2931.82,2928.275,2929.88,0,1533,-1512,1403
1739498400,2929.89,2930.49,2926.505,2928.01,0,1581,-1646,-13
1739499300,2927.885,2928.44,2925.805,2927.56,0,4304,-2208,4304
1739500200,2927.6,2928.64,2925.925,2927.23,0,5219,-127,2018
1739501100,2927.07,2928.55,2926.555,2927.4,0,2878,-108,1905
1739502000,2927.25,2930.13,2927.025,2928.815,0,2944,0,349
1739502900,2928.966,2930.45,2928.008,2928.831,0,2402,-1834,134
1739503800,2928.84,2929.11,2923.098,2924.17,0,988,-5721,-4999
1739504700,2924.19,2925.82,2922.915,2924.39,0,1160,-1793,-28
1739505600,2924.39,2926,2923.615,2924.784,0,2272,0,1764
1739506500,2924.81,2927.21,2924.605,2926.045,0,2349,-70,-67
1739507400,2926.264,2927.3,2925.485,2926.925,0,2053,-410,1468
1739508300,2927.15,2929.24,2926.695,2928.38,0,1516,-2621,-1997
1739509200,2928.38,2929.39,2927.598,2928.77,0,932,-4868,183
1739510100,2928.63,2929.43,2927.998,2928.358,0,850,-1411,-1411
1739511000,2928.49,2930.02,2926.525,2929.8,0,2175,-1687,268
1739511900,2929.83,2932.49,2929.245,2930.608,0,3566,-3141,-1806
1739512800,2930.857,2932.77,2929.695,2931.21,0,2739,-1400,1928
1739513700,2931.206,2933.62,2930.695,2933.18,0,9063,0,7520
1739514600,2933.145,2936.51,2932.325,2936.51,0,10094,0,10094
1739515500,2936.52,2936.84,2933.115,2934.145,0,62,-9037,-6703
1739516400,2934.237,2934.42,2931.758,2933.057,0,1167,-2926,-2786
1739517300,2933.17,2933.92,2930.335,2932.28,0,992,-2837,-1159
1739518200,2932.28,2934.46,2931.765,2932.96,0,5062,0,2083
1739519100,2932.94,2935.14,2930.635,2931.74,0,4260,-2778,-1854
1739520000,2931.85,2936.12,2930.615,2936.049,0,3010,-2383,2065
1739520900,2935.965,2938.59,2935.155,2936.58,0,0,-6317,-5542
1739521800,2936.562,2937.26,2933.805,2934.55,0,1128,-2830,-48
1739522700,2934.55,2936.05,2933.235,2934.985,0,3151,-1861,-1861
1739523600,2935.25,2937.67,2934.305,2937.64,0,7958,-2275,7958
1739524500,2937.64,2938.42,2936.205,2937.97,0,1327,-1302,613
1739525400,2937.98,2938.8,2933.945,2934.389,0,2759,-5228,-5228
1739526300,2934.45,2935.55,2933.895,2935.13,0,3043,-1033,1612
1739527200,2935.13,2937.16,2934.035,2935.475,0,0,-5132,-2611
1739528100,2935.566,2939.68,2935.365,2939.04,0,17964,0,16389
1739529000,2938.986,2940.02,2936.635,2937.111,0,6088,-1533,-237
1739529900,2936.938,2937.63,2934.928,2935.81,0,0,-4534,-3566
1739530800,2935.81,2937.51,2933.198,2935.27,0,281,-6477,-4668
1739531700,2935.32,2936.32,2933.915,2934.26,0,688,-4111,-4111
1739532600,2934.2,2934.87,2933.305,2933.91,0,1530,-1711,533
1739533500,2933.91,2934.03,2929.125,2931.2,0,0,-10841,-10841
1739534400,2931.07,2931.49,2929.025,2930.96,0,1599,-5306,-1527
1739535300,2930.96,2932.03,2930.735,2931.377,0,1658,0,405
