time,open,high,low,close,Basis,Upper,Lower,ATVV,Plot,Histogram,MACD,Signal,Bollinger BandWidth,Highest Expansion,Lowest Contraction
1738249200,2787.62,2789.95,2786.8,2789.94,2781.3975000000223,2788.8331973052905,2773.961802694754,2068.25,1837.6399999999994,0.3391281757538325,4.291130704742045,3.9520025289882126,0.5346734729766666,0.8678291561732286,0.11174937276380681
1738250100,2789.92,2790.99,2788.59,2789.68,2781.983000000023,2790.0631462484794,2773.9028537515665,2118.75,1883.4849999999994,0.37213591807834856,4.4171724265861485,4.0450365085078,0.5808911304243335,0.8678291561732286,0.11174937276380681
1738251000,2789.8,2792.5,2787.24,2791.69,2782.6575000000225,2791.571080336078,2773.743919663967,2183.15,1934.0249999999992,0.46471223030475173,4.62592679638874,4.161214566083988,0.6406523502123709,0.8678291561732286,0.11174937276380681
1738251900,2791.7,2796.62,2791.02,2795.3,2783.5075000000224,2793.7413123105193,2773.2736876895256,2250.35,1988.3799999999997,0.6908210537827788,5.024740883312461,4.333919829529682,0.7353177464401878,0.8678291561732286,0.11174937276380681
1738252800,2795.33,2798.35,2793.58,2793.75,2784.3025000000225,2795.109123636059,2773.495876363986,2322.8,2043.6699999999996,0.657898803985252,5.156293334511247,4.498394530525995,0.7762535598079829,0.8678291561732286,0.11174937276380681
1738253700,2793.77,2794.6,2790.41,2791.29,2784.9545000000226,2795.7952185371864,2774.1137814628587,2409.9,2103.3149999999996,0.4047731759326476,5.004361000441804,4.599587824509157,0.7785203339705391,0.8678291561732286,0.11174937276380681
1738254600,2791.35,2794.44,2790.14,2792.49,2785.6780000000226,2796.502355103425,2774.85364489662,2472.75,2165.825,0.25954768975808573,4.924022436706764,4.664474746948678,0.7771433097007177,0.8678291561732286,0.11174937276380681
1738255500,2792.45,2794.06,2790.32,2790.4,2786.315500000023,2796.664931791207,2775.966068208839,2542.5,2231.62,-0.020986793547189464,4.638241255014691,4.65922804856188,0.7428758007615436,0.8678291561732286,0.11174937276380681
1738256400,2790.37,2792.03,2788.72,2790.24,2786.8960000000225,2796.7463693031077,2777.045630696937,2571.8,2294.6949999999997,-0.2484083293914363,4.348717636822585,4.597125966214021,0.7069061280424649,0.8678291561732286,0.11174937276380681
1738257300,2790.22,2791.76,2789.13,2791.09,2787.524000000022,2796.742035333845,2778.3059646661995,2610.9,2355.115,-0.3655958727440849,4.140131125283915,4.505726998028,0.6613780067057757,0.8678291561732286,0.11174937276380681
1738258200,2791.17,2794.87,2791.17,2794.47,2788.2265000000225,2797.312432555757,2779.140567444288,2635.6,2411.8499999999995,-0.24525576411945504,4.199157292878681,4.444413056998136,0.6517356144297705,0.8678291561732286,0.11174937276380681
1738259100,2794.44,2795.75,2793.76,2795.54,2788.9965000000225,2797.817028918929,2780.175971081116,2670.25,2466.9999999999995,-0.12920616817968344,4.282905346773532,4.4121115149532155,0.6325234842644138,0.8678291561732286,0.11174937276380681
1738260000,2795.58,2796.56,2792.97,2793.92,2789.5980000000227,2798.03021343423,2781.1657865658153,2657.95,2514.4799999999996,-0.19330432272832176,4.170481111542813,4.363785434271135,0.6045468511382143,0.8678291561732286,0.11174937276380681
1738260900,2793.86,2797.04,2793.14,2794.73,2790.3100000000222,2797.90939467419,2782.7106053258544,2655.9,2555.035,-0.21143796333283138,4.099487980105096,4.310925943437927,0.5446989527448732,0.8678291561732286,0.11174937276380681
1738261800,2794.65,2795.33,2792.21,2794.65,2790.860500000022,2798.0304329437145,2783.6905670563297,2613.7,2584.1249999999995,-0.25612715258264807,3.9907670027096174,4.246894155292265,0.5138152153210341,0.8678291561732286,0.11174937276380681
